Ente,Unidade,Ano,Mes,Modalidade,Tipo,ProcessoLicitatorio,NumeroEdital,PublicacaoOficial,DataPublicacaoOficial,DataHomologacao,DataPublicacaoEdital,Objeto,Parecer,ValorEstimado,AdiadoSineDie,OrcamentoSigiloso,PercentualRecursosUniao
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,295237,PE F 099/2022,JORNAL DE GRANDE CIRCULAÇÃO - EXPRESSO (GRUPO O GL,2022-11-09,2022-12-06,2022-10-11,"AQUISIÇÃO DE EQUIPAMENTOS DE IMAGEM DE USO MÉDICO (DETECTOR DIGITAL EM IMAGEM RADIOLÓGICA, IMPRESSORA RADIOLÓGICA, MONITOR DE COMPUTADOR PARA DIAGNÓSTICO) COM LICENCIAMENTO DE DIREITOS PERMANENTES DE",None,1877984.44,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,10,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,298880,PE 107/2022,DIÁRIO OFICIAL DA UNIÃO,2022-10-27,2023-01-02,2022-10-11,AQUISIÇÃO MATERIAL ESCOLAR PARA COMPOSIÇÃO DE KITS ESCOLARES PADRONIZADOS PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL ADJUNTA DE EDUCAÇÃO BÁSICA,None,6128951.97,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,10,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,291749,RGP PE F102/2022,DOM - PUBLICAÇÕES,2022-10-26,2022-10-26,2022-10-13,"AQUISIÇÃO DE MATERIAIS MÉDICOS HOSPITALARES DO TIPO EXTENSOR E CATETER, VISANDO ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL ADJUNTA DE ALTA E MÉDIA COMPLEXIDADE - SEMUSA.",None,992000.85,NÃO,NÃO,50.0
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,10,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,291747,RGP PE F104/2022,DOM - PUBLICAÇÕES,2022-10-27,2022-11-09,2022-10-13,"AQUISIÇÃO DE INSUMOS HOSPITALARES DO TIPO FITAS MICROPROSA, ESPARADRAPO E CREPE, VISANDO ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE - SEMUSA.",None,267949.81,NÃO,NÃO,50.0
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,10,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,295044,RGP PE F103/2022,DIÁRIO OFICIAL DA UNIÃO – DOU,2022-10-26,2022-11-24,2022-10-13,AQUISIÇÃO DE SERINGAS E AGULHAS HIPODÉRMICAS.,None,2205447.71,NÃO,NÃO,20.0
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,10,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,295789,RGP PE F101/2022,DIÁRIO OFICIAL DA UNIÃO – DOU,2022-10-25,2022-10-25,2022-10-13,AQUISIÇÃO DE CATETERES PARA HEMODINÂMICA E PRÓTESES VASCULARES.,None,141699.79,NÃO,NÃO,33.3
MACAE,PREFEITURA MACAE,2022,10,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,292806,PE S106 /2022,DIÁRIO OFICIAL DA UNIÃO,2022-10-26,2022-10-31,2022-10-10,"AQUISIÇÃO DE TÁBUAS DE MADEIRA DE DIVERSOS TAMANHOS E ESPÉCIES, VISANDO ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL ADJUNTA DE INTERIOR.",None,488045.82,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,10,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,316119,PE 104/2022 SRP,DIÁRIO OFICIAL DA UNIÃO,2022-10-24,2024-01-10,2022-10-10,"AQUISIÇÕES DE DISPOSITIVOS MÓVEIS (TABLETS 4G 10”) PARA FINS EDUCACIONAIS, COM GARANTIA DE 24 MESES, PARA ATENDER A SECRETARIA MUNICIPAL DE EDUCAÇÃO",None,47139610.0,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,298548,PE S110/2022,DIÁRIO OFICIAL DA UNIÃO,2022-11-04,2022-12-29,2022-10-17,"AQUISIÇÃO DE TINTA ACRÍLICA, TINTA ESMALTE, SOLVENTE, VERNIZ, MASSA, VISANDO ATENDER ÀS NECESSIDADES DA SECRETARIA MUNICIPAL ADJUNTA DE SERVIÇOS PÚBLICOS.",None,1570550.0,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,11,CONCORRÊNCIA (LEI 8.666/93),MENOR PREÇO GLOBAL,294244,CP S032/2022,DIÁRIO OFICIAL DO ESTADO,2022-11-25,2022-11-25,2022-10-18,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO CIVIL PARA EXECUÇÃO DE GRAMA SINTÉTICA EM CAMPOS DE AREIA, LOCALIZADAS NAS PRAÇAS ÁLVARO MIRANDA, SÃO JOÃO BATISTA, NAGIB MUSSI E VIRA COPOS, COM MÃO",None,3114761.16,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,12,CONCORRÊNCIA (LEI 8.666/93),MENOR PREÇO GLOBAL,298870,CP S031/2022,DIÁRIO OFICIAL DA UNIÃO,2022-12-12,2023-01-25,2022-10-18,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE ENGENHARIA, SERVIÇOS DE MANUTENÇÃO PREDIAL PREVENTIVA, CORRETIVA E PREDITIVA, COM FORNECIMENTO DE PEÇAS, MATERIAIS DE CONSUMO, INSUMOS E MÃO DE OBRA",None,27641763.13,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,11,TOMADA DE PREÇOS,MENOR PREÇO GLOBAL,294187,TP S004/2022,DIÁRIO OFICIAL DA UNIÃO,2022-11-10,2022-11-24,2022-10-18,"CONTRATAÇÃO DE EMPRESA DE CONSTRUÇÃO CIVIL PARA CONSTRUÇÃO DE COBERTURA NO CAIS DO MERCADO DE PEIXES, COM FORNECIMENTO DE MATERIAIS, MÃO DE OBRA E EQUIPAMENTOS.",None,1070973.61,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,10,PREGÃO ELETRÔNICO,MENOR PREÇO GLOBAL,293673,PE F105/2022,JORNAL DE GRANDE CIRCULAÇÃO - EXPRESSO (GRUPO O GL,2022-10-31,2022-11-07,2022-10-17,"AQUISIÇÃO DE TESTES MOLECULARES, COM DISPONIBILIZAÇÃO DE EQUIPAMENTO EM REGIME DE LOCAÇÃO .",None,1181237.5,NÃO,NÃO,50.0
MACAE,PREFEITURA MACAE,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,294155,PE 111/2022 SRP,DIÁRIO OFICIAL DA UNIÃO,2022-11-04,2022-11-09,2022-10-18,"AQUISIÇÃO DE SOFTWARES DE EDIÇÃO GRÁFICA, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA MUNICIPAL ADJUNTA DE COMUNICAÇÃO",None,145104.48,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,292089,PE F106/2022,DOM - PUBLICAÇÕES,2022-11-01,2022-11-24,2022-10-19,"AQUISIÇÃO DE MEDICAMENTOS E INSUMOS PADRONIZADOS NA REMUME MACAÉ 2018/2019 VISANDO ATENDER ÀS NECESSIDADES DA CENTRAL DE ABASTECIMENTO FARMACÊUTICO, RESPONSÁVEL PELO ABASTECIMENTO DAS UNIDADES VINCULA",None,15329925.25,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,294380,PE 112/2022 SRP,DIÁRIO OFICIAL DA UNIÃO,2022-11-07,2022-11-09,2022-10-19,"PRESTAÇÃO DOS SERVIÇOS DE ARBITRAGEM ESPORTIVA PARA A MODALIDADE FUTEBOL DE CAMPO, PARA ATENDER A DEMANDA DE EVENTOS ESPORTIVOS PROMOVIDOS E/OU APOIADOS PELA SECRETARIA MUNICIPAL DE ESPORTES",None,297517.0,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/LOTE,295803,PE 113/2022,DIÁRIO OFICIAL DA UNIÃO,2022-11-08,2022-11-22,2022-10-19,"FORNECIMENTO DE UNIFORMES E ACESSÓRIOS, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA MUNICIPAL ADJUNTA DE DEFESA CIVIL.",None,174379.34,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,294450,PE F107/2022,DIÁRIO OFICIAL DO MUNICÍPIO – DOM,2022-11-03,2022-11-03,2022-10-20,AQUISIÇÃO DE MEDICAMENTO POLIDOCANOL.,None,2191.0,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,12,CONCORRÊNCIA (LEI 8.666/93),MENOR PREÇO GLOBAL,298757,CP S030/2022,DIÁRIO OFICIAL DA UNIÃO,2022-12-23,2023-02-01,2022-10-14,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO CIVIL PARA CONSTRUÇÃO DE PRAÇA NO BAIRRO LAGOMAR, MACAÉ/RJ, COM FORNECIMENTO DE MÃO-DE-OBRA, MATERIAIS E EQUIPAMENTOS.",None,4960625.36,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,11,CONCORRÊNCIA (LEI 8.666/93),MENOR PREÇO GLOBAL,297341,CP S029/2022,DIÁRIO OFICIAL DA UNIÃO,2022-11-18,2023-01-11,2022-10-14,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO CIVIL PARA CONSTRUÇÃO DE PRAÇA NA BICUDA PEQUENA, MACAÉ RJ, COM FORNECIMENTO DE MÃO-DE-OBRA, MATERIAIS E EQUI",None,3490039.57,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,11,CONCORRÊNCIA (LEI 8.666/93),MENOR PREÇO GLOBAL,296085,CP S028/2022,DIÁRIO OFICIAL DA UNIÃO,2022-11-17,2022-12-30,2022-10-14,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO CIVIL PARA REFORMA DE PRAÇA NO BAIRRO NOVA HOLANDA, MACAÉ/RJ, COM FORNECIMENTO DE MÃO-DE-OBRA, MATERIAIS E EQUIPAMENTOS.",None,1604213.68,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,12,CONCORRÊNCIA (LEI 8.666/93),MENOR PREÇO GLOBAL,296078,CP S027/2022,DIÁRIO OFICIAL DA UNIÃO,2022-12-01,2022-12-30,2022-10-14,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA CONSTRUÇÃO DE PRAÇA NO BAIRRO NOVA ESPERANÇA, MACAÉ/RJ, COM FORNECIMENTO DE MÃO-DE-OBRA, MATERIAIS E EQUIPAMENTOS",None,4026409.0,NÃO,NÃO,
MACAE,FUNDO MUN TRÂNSITO E TRANSPORTE MACAÉ,2022,10,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,294067,PE 108/2022,DIÁRIO OFICIAL DA UNIÃO,2022-10-27,2022-10-31,2022-10-14,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA O FORNECIMENTO E IMPLANTAÇÃO DE NOVOS MOBILIÁRIOS URBANOS, DO TIPO PARACICLOS, EM PONTOS ESPECÍFICOS DO MUNICÍPIO DE MACAÉ, COM FORNECIMENTO DE MÃO-DE-OBRA, M",None,664605.0,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,294307,PE SRP 115/2022,DIÁRIO OFICIAL DA UNIÃO,2022-11-10,2022-11-11,2022-10-20,AQUISIÇÃO DE ABSORVENTE HIGIÊNICO PARA ATENDER ÀS NECESSIDADES DAS ESCOLAS DA REDE MUNICIPAL DE ENSINO.,None,311988.6,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,293786,PE 114/2022,DIÁRIO OFICIAL DA UNIÃO,2022-11-09,2022-11-10,2022-10-21,"FORNECIMENTO DE MATERIAIS GRÁFICOS (CAPA DE PROCESSO, CAPA DE REQUERIMENTO, IMPRESSO PADRONIZADO E CARTÃO DE PROTOCOLO), PARA ATENDER ÀS NECESSIDADES DA COORDENADORIA DE PROTOCOLO GERAL, ÓRGÃO VINCULA",None,239000.0,NÃO,NÃO,
MACAE,FUNDO MUN TRÂNSITO E TRANSPORTE MACAÉ,2022,8,CONCORRÊNCIA (LEI 8.666/93),MENOR PREÇO GLOBAL,292328,CP S019/2022,"DOU, DOERJ, JORNAL EXPRESSO, JORNAL O DIA E DOM.",2022-08-23,2022-09-28,2022-07-21,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRA CIVIL PARA CONSTRUÇÃO DE NOVO RETORNO E ADEQUAÇÃO COM MELHORIAS PARA A TRAVESSIA DE VEÍCULOS E PEDESTRES, NO CANTEIRO CENTRAL DA RODOVIA CHRISTINO JOSÉ DA",None,869859.29,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,292335,PE F109/2022,DOM - PUBLICAÇÕES,2022-11-07,2022-11-22,2022-10-22,"AQUISIÇÃO DE BOMBAS HIDRÁULICAS VISANDO ATENDER AS NECESSIDADES DO HOSPITAL PÚBLICO MUNICIPAL DR. FERNANDO PEREIRA DA SILVA – HPM E SEU ANEXO HOSPITAL PÚBLICO MUNICIPAL IRMÃS DO HORTO - HPMIH, VINCULA",None,32682.76,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,294736,RGP PE F110/2022,DIÁRIO OFICIAL DA UNIÃO – DOU,2022-11-07,2022-11-11,2022-10-24,AQUISIÇÃO DE MATERIAIS DE LIMPEZA.,None,2075474.64,NÃO,NÃO,20.0
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,12,PREGÃO ELETRÔNICO,MENOR PREÇO GLOBAL,292510,PE F108/2022,DOM - PUBLICAÇÕES,2022-12-06,2022-12-26,2022-10-26,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM LICENCIAMENTO DE USO DE SISTEMA DE INFORMAÇÃO INTEGRADO PARA GESTÃO PÚBLICA EM SAÚDE, PARA ATENDER A DEMANDA DA SECRETARIA DE SAÚDE DO MUNICÍPIO DE MACAÉ - SEMU",None,6760745.6,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,11,CONCORRÊNCIA (LEI 8.666/93),MENOR PREÇO GLOBAL,296891,CP S033/2022,"DOU, DOERJ, O EXPRESSO, O DIA E DOM",2022-11-29,2022-12-30,2022-10-26,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA CONSTRUÇÃO DA PRAÇA NOVO HORIZONTE, LOCALIZADA À RUA JOÃO BATISTA DE LIMA, ESQUINA COM A RUA DOS JURITIS, BAIRRO NOVO HORIZONTE, MACAÉ/RJ, COM FORNECIMENTO DE",None,1932482.71,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,12,CONCORRÊNCIA (LEI 8.666/93),MENOR PREÇO GLOBAL,306876,CP S034/2022,"DOU, DOERJ, O EXPRESSO, O DIA E DOM",2022-12-01,2023-04-25,2022-10-26,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA CONSTRUÇÃO DA ESCOLA INFANTIL, LOCALIZADO NA RUA DO SASE, ESQUINA COM A RUA ALADINO CARNEIRO, S/N, BARRA DE MACAÉ, MACAÉ/RJ, COM FORNECIMENTO DE MÃO-DE-OBRA,",None,7288658.65,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,292610,PE F112/2022,DOM - PUBLICAÇÕES,2022-11-10,2022-11-11,2022-10-27,"AQUISIÇÃO DE TIRA DE TESTE IMUNOLÓGICO PARA GRAVIDEZ, VISANDO ATENDER AS NECESSIDADES DO PROGRAMA DE ATENÇÃO INTEGRAL À SAÚDE DA MULHER, VINCULADA À SECRETARIA MUNICIPAL ADJUNTA DE ATENÇÃO BÁSICA – SE",None,8520.0,NÃO,NÃO,100.0
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,295876,PE F 111/2022,PORTAL DA TRANSPARÊNCIA DO MUNICÍPIO DE MACAÉ,2022-11-10,2022-12-05,2022-10-27,AQUISIÇÃO DE GASES DIVERSOS ACONDICIONADOS EM CILINDROS EM REGIME DE COMODATO.,None,4174099.2,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,292787,PE F114/2022,DOM - PUBLICAÇÕES,2022-11-11,2022-11-17,2022-10-28,"AQUISIÇÃO MATERIAIS PARA EQUOTERAPIA, VISANDO ATENDER AS NECESSIDADES DA CEVAS, VINCULADA À SECRETARIA MUNICIPAL ADJUNTA DE ATENÇÃO BÁSICA – SEMUS",None,33685.8,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO GLOBAL,299461,PE S117/2022,DIÁRIO OFICIAL DA UNIÃO,2022-11-30,2023-01-13,2022-10-31,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REALIZAÇÃO DE SERVIÇOS DE TOPOGRAFIA, COM FORNECIMENTO DE MÃO-DE-OBRA E EQUIPAMENTOS, VISANDO ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE INFRAESTRUTUR",None,2393741.77,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO GLOBAL,296837,PE S117/2022,DIÁRIO OFICIAL DA UNIÃO,2022-11-30,2023-01-06,2022-10-31,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REALIZAÇÃO DE SERVIÇOS DE TOPOGRAFIA, COM FORNECIMENTO DE MÃO-DE-OBRA E EQUIPAMENTOS, VISANDO ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE INFRAESTRUTUR",None,2393741.77,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO GLOBAL,294259,PE 116/2022 SRP,JORNAL DE GRANDE CIRCULAÇÃO ESTADUAL (JORNAL EXPRE,2022-11-11,2022-11-24,2022-10-28,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE PRODUÇÃO E DECORAÇÃO COM O FORNECIMENTO DE INFRAESTRUTURA, LOCAÇÃO, COLOCAÇÃO, INSTALAÇÃO, MANUTENÇÃO, CONSERVAÇÃO E RETIRADA DE ORNA",None,6831510.0,NÃO,NÃO,
MACAE,FUNDO MUN TRÂNSITO E TRANSPORTE MACAÉ,2022,10,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,292820,PE 100/2022,DIÁRIO OFICIAL DA UNIÃO,2022-10-10,2022-10-20,2022-09-26,"FORNECIMENTO DE EQUIPAMENTOS DE TOPOGRAFIA, CONFORME ESPECIFICAÇÕES CONTIDAS NESTE TERMO DE REFERÊNCIA EM CONSONÂNCIA AO DISPOSTO NO EDITAL, PARA ATENDER AS NECESSIDADES DO SETOR DE ENGENHARIA DE TRÂN",None,28649.92,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,295074,RGPE F 113/2022,PORTAL DA TRANSPARÊNCIA DO MUNICÍPIO DE MACAÉ,2022-11-11,2022-11-24,2022-10-31,AQUISIÇÃO DE MATERIAIS DE HIDRÁULICA PARA MANUTENÇÃO PREDIAL.,None,102481.6,NÃO,NÃO,50.0
MACAE,PREFEITURA MACAE,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,294931,PE 118/2022 SRP,DIÁRIO OFICIAL DA UNIÃO,2022-11-17,2022-11-18,2022-11-01,"AQUISIÇÃO DE MATERIAIS PARA MANUTENÇÃO DE PISCINA, PARA ATENDER ÀS NECESSIDADES DO CEMEAES - SECRETARIA MUNICIPAL ADJUNTA DE EDUCAÇÃO BÁSICA",None,78665.88,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,294990,RGP PE F117/2022,DIÁRIO OFICIAL DO MUNICÍPIO - DOM,2022-11-21,2022-11-23,2022-11-05,AQUISIÇÃO DE EQUIPAMENTO (BARRACA ACAMPAMENTO).,None,89521.49,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,297002,PE 122/2022 SRP,JORNAL DE GRANDE CIRCULAÇÃO LOCAL (JORNAL O DIA),2022-11-24,2023-01-12,2022-11-08,"AQUISIÇÃO DE NOTEBOOKS, PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL ADJUNTA DE COMUNICAÇÃO",None,189565.13,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,296407,RGPE F 115/2022,PORTAL DA TRANSPARÊNCIA DO MUNICÍPIO DE MACAÉ,2022-11-29,2023-01-02,2022-11-03,"AQUISIÇÃO DE INSUMOS DO TIPO PAPEL HIGIÊNICO, TOALHA DE PAPEL E LENÇOL DESCARTÁVEL.",None,4116037.95,NÃO,NÃO,50.0
MACAE,PREFEITURA MACAE,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/LOTE,295221,PE 119/2022,DIÁRIO OFICIAL DA UNIÃO,2022-11-21,2022-12-08,2022-11-04,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA REALIZAÇÃO DE SHOWS PIROTÉCNICOS, PARA EXECUÇÃO NO RÉVEILLON 2022/2023, EM MAR ABERTO NA CIDADE DE MACAÉ, INCLUINDO FORNECIMENTO DE FOGOS DE ARTIFÍCIO, LOCAÇÃO",None,1636701.0,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,294905,PE 120/2022,DIÁRIO OFICIAL DA UNIÃO,2022-11-21,2022-11-22,2022-11-04,AQUISIÇÃO DE BALÕES INFLÁVEIS TIPO ROOF TOP DE PUBLICIDADE PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE POLÍTICAS PARA AS MULHERES,None,4970.0,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,293301,RGP PE F118/2022,DOM - PUBLICAÇÕES,2022-11-23,2022-12-07,2022-11-09,"AQUISIÇÃO DE EQUIPAMENTOS HOSPITALARES (CAMA FOWLER), PARA ATENDER AS NECESSIDADES DAS UNIDADES HOSPITALARES E UNIDADES DE URGÊNCIA/EMERGÊNCIA VINCULADAS À SECRETARIA MUNICIPAL ADJUNTA DE ALTA E MÉDIA",None,3706323.9,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,294800,RGP PE F120/2022,DOM - PUBLICAÇÕES,2022-11-24,2022-11-28,2022-11-10,"AQUISIÇÃO DE MEDICAMENTOS, VISANDO ATENDER OS PACIENTES CADASTRADOS NA ASSESSORIA FARMACÊUTICA, ASSISTIDOS PELA SECRETARIA MUNICIPAL DE SAÚDE – SEMUSA.",None,4070641.0,NÃO,NÃO,
MACAE,CAMARA MACAE,2022,11,PREGÃO PRESENCIAL,MENOR PREÇO P/ITEM,296466,PP 018/2022,DIÁRIO OFICIAL DO MUNICÍPIO,2022-11-23,2022-12-21,2022-11-08,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO EVENTUAL FORNECIMENTO DE MATERIAL DE CONSUMO PARA ATENDER AS NECESSIDADES DA DIRETORIA DE SERVIÇOS GERAIS E DO SETOR MÉDICO DESTA CÂMARA MUNICIPAL.,None,332795.6,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,295348,PE F 119/2022,PORTAL DA TRANSPARÊNCIA DO MUNICÍPIO DE MACAÉ,2022-11-25,2022-12-05,2022-11-10,AQUISIÇÃO DE VEÍCULO FURGÃO DO TIPO UNIDADE MÓVEL ODONTOLÓGICA ADAPTADA.,None,603750.0,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,294448,PE F 121/2022,PORTAL DA TRANSPARÊNCIA DO MUNICÍPIO DE MACAÉ,2022-11-30,2022-11-30,2022-11-10,AQUISIÇÃO DE MEDICAMENTO POLIDOCANOL.,None,2191.0,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,12,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,295832,RGP PE F123/2022,DIÁRIO OFICIAL DO MUNICÍPIO – DOM,2022-12-09,2022-12-14,2022-11-12,"AQUISIÇÃO DE MEDICAMENTO (DUPILAMABE) A FIM DE ATENDER A PACIENTE MARIA JULIA MAGALHÃES DE CASTRO FREITAS, REFERENTE AO MANDADO JUDICIAL, PROCESSO NO0001148-88.2022.8.19.0028.",None,57666.56,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,296714,PE SRP 124/2022,JORNAL DE GRANDE CIRCULAÇÃO LOCAL – O DIA,2022-11-29,2022-12-06,2022-11-12,"RECARGA E/OU MANUTENÇÃO DE EXTINTORES DE INCÊNDIO, PARA ATENDIMENTO DAS NECESSIDADES DO ARQUIVO GERAL, SETOR VINCULADO À CONTROLADORIA GERAL DO MUNICÍPIO.",None,5198.92,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,293699,PE F122/2022,DOM - PUBLICAÇÕES,2022-11-30,2022-12-01,2022-11-12,"PRESTAÇÃO DE SERVIÇO DO TIPO HOME CARE CONTEMPLANDO OS SERVIÇOS DE ASSISTÊNCIA E ATENDIMENTO DOMICILIAR, COM EQUIPE MÉDICA E DE ENFERMAGEM, TERAPIA OCUPACIONAL, NUTRICIONISTA, FONOAUDIOLOGIA, FISIOTER",None,626069.9,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,11,PREGÃO ELETRÔNICO,MENOR PREÇO GLOBAL,295302,PE 123/2022,DIÁRIO OFICIAL DO MUNICÍPIO DE MACAÉ,2022-11-28,2022-11-29,2022-11-12,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRODUÇÃO CULTURAL PARA EXECUÇÃO DAS FESTIVIDADES DO NATAL 2022, NO MUNICÍPIO DE MACAÉ, PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE CULTURA.",None,221822.98,NÃO,NÃO,
